MOF,O2,N2,CO2,CH4,H2,He
UCUJOU_clean,13382416.089762561,12061455.343138024,6576032.043018434,6618889.118689294,,86479660.8233143
UCUTIW_clean,1652317.4049131596,1258737.6550157776,1009959.1173286679,715733.9509287087,,8587121.032786328
UDAMET_clean,2775285.328045965,2794920.180135352,,3727504.605620243,27561173.320441086,20661965.9264642
UDANEV_clean,10715414.266684048,9368486.729704611,6666144.852231793,,,78034271.26598121
UDAWOO_clean,11826524.558215456,9997525.17300588,7763129.397734909,5134596.912891743,,45462364.91212067
UDAWUU_clean,6926278.972673212,6515363.15781007,3695170.0349456244,3300524.0668539964,,45239551.89465786
UDAXAB_clean,6630358.30272137,6790659.614838034,5362450.313994538,3368499.7015031185,,26757428.087352604
UDAXEF_clean,8598629.62706799,7008081.590654629,5099345.976062274,4159968.2801289326,,40045972.24510743
UDAXIJ_clean,11230857.799528098,9919815.680504752,7510151.833337863,5501226.607105419,,44512083.5413156
UDEGIW_clean,,,,,4213901.01331505,
UDEMEW_manual,6760710.262297776,6077401.7424391955,5075557.880240731,3619580.779996652,,59287558.223534845
UDICER_clean,,1453975.7046778959,,,13037810.549832022,9940875.305962624
UDIDAO_clean,,890123.9389638391,939033.9151400863,,,
UDOVOA_clean,1397122.6611488096,949809.5457733889,767178.3691164429,272441.8452078546,7434778.615537419,8097116.731814373
UDOVUG_charged,1964314.1213135894,1627649.1805310694,1576804.0158372095,965339.5804700941,,12623718.333423363
UDUMIP02_clean,17292590.66731836,14832303.583979031,11397478.215238689,9287482.394590607,105919158.38102724,103112667.81649458
UDUMIP03_clean,17421416.242930394,14768456.892515916,11398918.57968566,9470349.2665701,102037678.11004826,99491270.29231544
UDUMIP_clean,15896254.967961865,14064203.740655676,10188364.947395455,8677048.51850894,82014197.82477666,83216091.90577072
UFASEA_ion_b,2169522.897133557,1923672.6778792343,1348927.033566028,401102.66363978205,,16637269.159588244
UFEMIC_clean,760763.9021406587,713005.3243213682,455217.94220825774,545929.5743318648,,6332023.549939631
UFENAW_clean,5492869.7258396335,8341014.218270658,1927832.8706361998,2623041.4309202475,,43981344.06004898
UFEVIL_clean,1278380.4587751583,796336.2094384797,712264.6054479505,285002.2903252569,5916388.533547096,7271574.754450505
UFILUR02_clean,903243.3734004652,570662.7322304304,666324.8489761774,443954.68486183265,,9305185.685072606
UFILUR_clean,901066.8832782592,566423.4115883629,652885.7890253717,435577.0250750805,,7420777.000839464
UFOFIF_clean,936678.7527252969,478925.8065817376,581006.938878875,260483.62849038144,,3620190.7474083025
UFUNIS_clean,392483.4794332951,290966.1520311888,,32225.092830989182,,1439850.8720654547
